Example ID,Target,Features_ 1,Features_ 2,Features_ 3,Features_ 4,Features_ 5,Features_ 6,Features_ 7,Features_ 8,Features_ 9,Features_10,Features_11,Features_12,Features_13,Features_14,Features_15,Features_16,Features_17,Features_18,Features_19,Features_20,Features_21
ID11,25.554106,0.02376,-0.403701,0.182077,1.59305,0.026837,0.153501,0.212043,0.051329,-0.003242,0.015668,0.039728,-0.004481,-0.004366,0.041223,1.070873,-0.021423,-0.289074,-2.109499,0.006028,0.129687,-2.207086
ID12,-5.844822,0.404835,-0.384349,0.052267,1.305783,0.020365,0.092893,0.080855,-0.443726,0.013115,-0.191685,0.322341,0.008429,-0.108458,-0.09881,-15.269551,0.769074,1.016697,10.076528,-0.818694,-0.702415,2.022505
ID13,-7.068157,-0.034149,-0.309447,0.164758,1.887643,0.552735,0.208627,-0.205837,-1.007657,0.598929,-0.565525,0.67148,0.000022,-0.103026,0.224748,-9.101765,9.118197,-8.142728,-18.546454,-5.250168,-8.909042,17.409283
ID14,23.107435,-0.335858,-0.431661,-0.193186,1.700116,0.030606,-0.090463,0.417647,1.368,0.269671,0.741914,-1.281823,0.130538,0.572586,-1.148411,6.601155,-1.744637,3.404212,-1.397296,0.425224,1.701956,-0.320566
ID15,41.729309,-0.525705,-0.371342,-0.129129,1.771493,-0.02745,0.02845,0.485926,-1.830567,-0.280677,-0.083209,0.68199,-0.00399,-0.128245,0.985362,21.238274,3.864737,4.759204,-8.060626,1.168349,2.187905,-6.296405
ID16,60.89489,-0.272775,-0.358619,-0.010063,1.685727,0.043801,0.053,0.384659,3.41701,-0.187504,1.230343,-2.085506,0.421774,0.562385,-2.419125,25.072796,-11.947254,4.409874,-23.829129,-0.786618,0.919454,-11.470694
ID17,13.456683,0.429874,-0.345236,0.093139,1.196959,-0.075391,0.093661,-0.027317,-1.252887,-0.366199,0.745665,1.92455,-0.172436,0.552969,0.927739,-10.278094,2.935297,-1.022858,9.919149,0.047514,0.268403,6.46749
ID18,16.311131,-0.375756,-0.456982,-0.324913,1.849499,-0.022329,-0.136493,0.52045,-0.808325,-0.37425,-0.582389,-0.20607,-0.27365,-0.384077,0.29349,7.672456,2.794735,4.33921,-4.850929,1.673421,3.492871,-4.82456
ID19,-3.1263,-0.462631,-0.52163,0.049493,1.953082,0.669508,-0.26549,-0.062374,-0.493531,-1.231696,1.430152,1.593857,1.952044,-0.117527,-1.28747,-1.195249,-3.070753,3.624743,1.238345,6.351856,5.376003,2.518145
ID20,-6.133305,-0.779241,-0.531369,0.238993,1.63886,0.659109,-0.741142,0.413277,0.008771,1.130299,-0.794852,-0.605608,-1.687833,0.696619,0.799523,0.065863,-13.879327,3.101,5.793236,23.467091,-6.139962,-14.954953
ID21,12.369274,-0.557686,-0.337947,-0.106635,2.034413,-0.058678,0.038424,0.604072,1.660728,0.28859,-0.717984,0.228855,-0.407903,-0.394601,-0.008391,12.054531,4.211792,-3.936005,-19.763462,-2.882915,-0.875225,-18.421892
ID22,35.612637,0.143092,-0.177226,0.005153,1.129058,0.265527,0.059668,0.423182,0.838149,0.43833,-0.134882,-2.300003,-0.078243,0.279121,1.511305,-4.398866,-7.464732,-0.910227,19.004162,4.740189,-4.850804,-15.461382
ID23,10.79222,-0.120103,-0.240623,0.21295,1.883402,0.344981,0.168733,-0.198932,0.013667,-0.296124,0.427176,1.4572,0.480071,0.105541,-0.855915,1.303907,7.762634,-4.198391,-18.051542,-4.837664,0.59927,17.015015
ID24,-4.349635,-0.172967,-0.380139,-0.192589,1.830272,0.01383,-0.049802,0.403071,-2.018014,-0.48438,-1.032174,1.331348,-0.274689,-0.71842,1.563256,-0.740846,-5.36166,0.660507,-13.401643,-1.860362,-1.079406,-4.092535
ID25,2.174817,-0.112271,-0.248475,0.083934,1.700273,-0.144255,0.168077,0.295666,-3.56509,0.460599,-0.543277,1.054483,-0.203639,0.358075,1.458521,-2.319876,-1.885067,-3.331213,-16.255644,-0.113453,-0.529265,-5.997588
ID26,16.447058,0.013173,-0.300562,-0.123097,1.600339,-0.000967,-0.008374,0.236593,0.050824,-0.000962,0.078626,0.015851,0.018517,0.038462,-0.011644,-1.585419,0.026359,-2.563994,-0.476779,-0.563853,-0.722895,0.005773
ID27,4.077783,-0.407063,-0.310806,-0.050893,1.542492,0.286293,-0.230326,0.345697,0.031712,-0.267279,0.149823,0.555615,0.007377,0.070729,-0.192895,-5.036406,-8.386779,3.816189,23.086039,13.601654,-3.385849,-17.017296
ID28,4.621487,-0.386406,-0.3764,-0.005507,1.661757,0.021527,0.092893,0.408441,0.007589,0.010867,0.041576,-0.004128,-0.000104,0.008465,0.011059,0.04801,0.382111,0.420193,0.064179,0.287651,-0.591329,-1.405585
ID29,33.421844,-0.031825,-0.207439,0.110534,1.388789,0.456948,0.028339,0.370315,0.174285,-0.226886,0.182755,1.756332,0.182189,0.399452,-1.677717,5.704959,-1.288977,5.063247,2.965917,1.858923,3.695565,-7.794486
ID30,42.544865,0.19924,-0.155006,-0.002595,1.299097,0.472687,-0.012321,0.226085,-0.329196,0.153063,-0.402138,-0.478862,-0.36912,-0.299236,0.298325,-4.54596,-4.020254,-0.795304,26.082649,3.498671,3.853203,-16.889756
ID31,15.359648,0.227492,-0.472219,0.171144,1.166265,0.097397,0.108237,-0.011206,-1.754138,0.412618,-0.16911,0.837642,-0.211878,0.079046,0.227507,-11.768738,3.006048,-1.940104,19.88646,-1.707849,0.173969,10.609156
ID32,22.358337,0.13823,-0.273853,0.158851,1.378705,0.498417,0.068233,0.246032,0.279148,-0.296274,0.319112,1.470851,0.260009,0.328066,-1.553333,4.337704,1.140701,0.781377,-15.615437,1.547515,-2.353887,13.245481
ID33,-75.574905,0.338924,-0.429148,0.125686,1.450799,0.01738,0.067576,0.149902,0.773728,-0.608344,1.318135,-1.271096,0.309046,0.257412,-0.720292,-36.335523,15.579521,-12.439413,6.395949,0.688633,1.06111,2.988082
ID34,-14.680017,-0.403528,-0.330188,-0.336663,1.902089,-0.183493,-0.013745,0.677722,-0.074813,-0.092894,0.314606,-0.504774,0.235204,-0.001465,0.011758,-1.916163,-0.078332,6.929754,-7.674622,3.374103,1.238385,-4.291486
ID35,44.991535,-0.438965,-0.25259,-0.03752,1.63653,-0.117771,0.126649,0.360876,-1.324649,-0.074557,-0.013552,-0.024535,0.13278,0.217213,0.402217,16.371136,-0.227924,4.548525,2.52849,6.146355,1.067877,-1.301446
ID36,16.990761,0.219628,-0.389243,0.240062,1.327089,0.472184,0.131909,0.13786,-0.1839,-0.364971,0.360267,1.810417,0.397756,0.274255,-1.809322,2.761548,3.523458,1.288445,-15.969471,1.394013,-2.119785,16.322214
ID37,15.495574,-0.400875,-0.340934,0.026516,1.618739,0.340737,-0.21038,0.291227,0.136834,0.598409,-0.536896,-1.739297,-0.967199,0.207992,1.390019,0.923813,-2.976905,1.420048,0.996537,1.763813,-0.73167,-4.371086
ID38,-16.868067,-0.690836,-0.77324,0.205441,1.705148,0.921715,-0.784104,0.213043,-0.324971,-1.434014,0.781706,0.584986,1.921936,0.009509,-0.75848,-2.413243,7.488128,-4.443726,-3.531998,-10.862271,3.577661,10.786858
ID39,41.593384,-0.610339,-0.37973,-0.172609,1.735584,-0.080543,0.08292,0.558041,-0.527196,-0.130444,1.092691,1.481659,0.663271,0.430097,1.153332,20.083629,6.090029,7.362679,-1.173529,3.897451,4.371526,-9.672502
ID40,34.117447,-0.572343,-0.457927,0.09673,1.907545,0.524332,-0.262548,0.072581,0.267207,0.603549,-0.387013,-1.2484,-1.100014,-0.081047,0.727334,16.692278,11.623927,-5.17588,-25.271422,-19.602471,0.761415,14.696321
ID41,5.437044,-0.209315,-0.328491,0.012557,1.645578,-0.048719,0.13739,0.295666,0.1288,0.000997,0.010917,-0.068757,0.043458,0.001907,-0.038026,-2.378057,0.021882,-0.657487,0.40322,-0.305816,0.063268,-0.711789
ID42,33.709671,-0.286786,-0.404895,-0.043458,1.695152,0.111754,0.015408,0.344765,2.365759,-0.03422,0.764246,-2.510212,0.222247,0.380775,-2.065339,9.12559,-4.007332,2.328987,-6.109585,-0.387073,-0.159671,0.832258
ID43,14.874822,-0.371305,-0.381923,-0.043373,1.711714,0.663664,-0.300014,0.23299,0.405857,0.703986,-0.78407,-1.955962,-1.27992,-0.012928,1.513947,2.057755,-0.481797,3.740211,0.122317,1.82346,1.686533,-5.819557
ID44,16.990761,0.350705,-0.345299,0.129455,1.102114,0.055865,0.135855,-0.065676,-2.238871,0.003476,0.315705,2.248599,-0.355489,0.450148,0.979348,-13.18921,2.272299,-2.541569,21.24558,-1.353061,1.382227,12.403916
ID45,13.048904,-0.238014,-0.382372,-0.059312,1.798909,0.506456,-0.21038,-0.037893,-0.21876,-0.565968,0.641807,1.291215,1.093063,-0.193928,-1.100634,4.761556,11.108083,-4.183604,-21.099377,-13.559095,4.137866,21.254562
ID46,28.408552,-0.214892,-0.248446,-0.136281,1.506866,0.315887,-0.116784,0.228318,-0.629489,-0.644944,-0.162587,1.385077,0.654688,-0.512391,-0.953186,1.675221,-6.874658,6.818537,17.572856,8.781376,-1.731213,-16.735847
ID47,26.369661,-0.338089,-0.297546,0.116889,1.755848,-0.097539,0.226383,0.407674,2.480705,-0.886073,0.841588,0.225074,0.318716,0.009449,-0.692603,10.803565,-6.104764,-1.142564,-13.718352,0.694865,-2.208465,-8.940967
ID48,9.378901,-0.388277,-0.331855,-0.030127,1.566682,0.318683,-0.192735,0.297364,-0.387163,-0.60044,0.178224,1.562274,0.720791,-0.392218,-1.122731,-1.414609,-6.183288,8.14103,13.849137,2.009708,-2.628745,-14.696393
ID49,35.612637,0.153404,-0.23075,-0.019371,1.368903,0.484845,-0.030733,0.277486,0.206426,0.390189,-0.202117,-2.133491,-0.505315,-0.182849,1.613553,2.840625,-1.163104,0.304122,-1.412358,0.971105,1.542584,-4.472104
ID50,5.708896,-0.001907,-0.318752,-0.082413,1.501316,-0.000464,0.025382,0.222784,0.47861,0.020366,0.08316,-0.29153,0.025511,0.023441,-0.213131,-7.439258,-0.26504,-1.703843,4.596876,-0.236326,-0.599357,2.344017
ID51,31.534853,-0.149045,-0.252624,-0.11184,1.460371,0.28268,-0.080726,0.222948,-0.813246,-0.646557,-0.175374,1.669024,0.59815,-0.657478,-1.198846,2.228963,-6.293766,5.824795,16.759619,7.316332,-1.819928,-16.702994
ID52,15.903353,-0.045387,-0.356263,-0.045248,1.592045,0.012699,0.029217,0.238895,-0.032539,0.001689,0.004395,-0.023915,-0.006079,-0.006237,-0.058504,0.23333,0.03484,-0.252345,0.761885,-0.008864,0.234208,0.194281
ID53,8.699269,0.273328,-0.271251,-0.028158,1.349043,-0.022455,0.082153,0.069348,-2.054859,0.404049,-1.178348,0.350594,-0.147003,-0.394871,0.151265,-11.155066,-4.308459,-3.861903,8.768675,-1.987262,-2.858814,6.80149
ID54,26.913366,0.245358,-0.182746,0.044183,1.352473,0.516135,-0.001581,0.234524,0.298879,0.252232,-0.207066,-2.007997,-0.323322,-0.532586,1.477075,2.90215,-0.207295,-2.242475,-11.915805,-1.306514,-0.208283,4.518693
ID55,-3.687973,-0.38651,-0.207888,0.128567,2.056315,0.392325,0.056725,-0.113008,-0.00549,0.334816,-0.259565,-1.258587,-0.391265,-0.311053,1.0816,-0.770797,2.101072,-2.560362,-12.686149,-2.06725,-1.454524,10.905528
ID56,4.213709,-0.468262,-0.412625,-0.027959,1.735857,0.397286,-0.303976,0.199165,-0.500259,-0.960613,0.944325,2.193407,1.371092,-0.237931,-1.939436,1.80214,1.49884,5.231466,-0.481302,4.931806,5.151564,-1.790838
ID57,7.475935,-0.451092,-0.314919,0.078216,1.747051,-0.011114,0.130485,0.409208,0.601456,-0.001189,0.04742,-0.043254,0.094471,0.017627,0.012563,4.510832,-0.00737,-0.622334,-1.27261,1.952101,-0.161256,-1.433866
ID58,-8.019639,-0.517892,-0.369868,0.180843,2.050377,0.634385,-0.217925,-0.070046,-0.06807,0.07783,-0.034434,0.168239,0.136729,0.047752,0.26306,-0.093964,5.418411,-8.93742,-19.920577,-15.80306,-3.391767,16.053012
ID59,18.485949,-0.066483,-0.21194,-0.08344,1.296474,0.24429,-0.024722,0.369479,-0.313368,-0.277822,-0.090905,0.959846,0.05471,-0.091551,-0.716438,-6.946949,-7.520794,1.035859,30.236975,9.721014,-4.278641,-18.753726
ID60,-4.077783,-0.838931,-0.686626,0.353347,1.926818,1.094094,-0.5294,0.021248,-0.08504,-0.141677,-0.434011,-0.750216,0.038858,-0.739825,1.123637,7.050039,3.062721,-15.108771,-16.230088,-20.007934,-6.136084,10.416726
ID61,8.563344,-0.255873,-0.317401,-0.223094,1.671622,-0.04231,-0.026787,0.353204,-0.000159,0,0.000871,-0.020523,0.01764,-0.002938,-0.006683,-0.059569,0.00077,-0.198823,-0.437906,-0.317344,0.005045,0.354031
ID62,22.699657,-0.433939,-0.428268,-0.117254,1.916226,0.105188,-0.047501,0.543465,1.124552,0.198391,0.658608,-1.396828,0.335024,0.4521,-1.416517,12.871555,-0.460977,-1.170379,-14.442354,-1.344061,1.480681,-15.864802
ID63,1.924995,-0.444567,-0.488172,0.005353,1.935521,0.685341,-0.286204,-0.004069,-0.380007,0.035197,-0.466588,-1.99367,-0.794466,-1.221789,1.497508,1.927168,6.69418,1.887728,0.725148,-7.115463,4.468122,-0.936108
ID64,1.495187,-0.118658,-0.313248,0.150244,1.850258,0.431501,0.112729,-0.099199,-0.653163,0.504924,-0.258349,-0.447954,-0.34749,-0.037727,0.88854,-2.781462,5.99833,-6.421449,-18.649627,-11.47293,-2.615159,14.328346
ID65,7.747787,-0.347356,-0.387584,-0.322777,1.839885,-0.077276,-0.074352,0.505873,-0.033063,0.001858,-0.122296,0.100523,-0.027947,-0.046011,0.173002,2.575817,0.365261,5.550263,-1.978127,1.716096,3.683133,-3.685679
ID66,7.475935,-0.564489,-0.444544,0.105433,1.854452,0.496403,-0.366884,0.176917,-0.003812,0.052007,-0.006186,-0.250729,0.068529,0.13307,0.225017,2.381706,6.256685,-8.559608,-16.512094,-16.773404,-2.768189,13.954363
ID67,17.262613,-0.019186,-0.283723,-0.116783,1.628393,-0.017963,0.033053,0.269582,-0.060849,0.000051,-0.000611,-0.023996,0.010795,0.000466,-0.031386,0.074614,0.012936,-0.078716,0.501664,-0.030346,0.007216,0.432451
ID68,38.374233,-0.104835,-0.131107,0.040162,1.579798,0.291951,0.039847,0.189261,-0.253602,-0.217542,-0.162983,1.934927,0.178167,-0.091168,-1.469567,4.254513,-8.236659,6.764769,9.155486,15.48805,-1.063675,-14.685061
ID69,51.787842,-0.403559,-0.222839,-0.0302,1.625315,-0.177681,0.164241,0.360109,-2.411782,-0.07967,-0.247082,-0.209158,0.005625,0.217128,0.483692,23.343062,-1.898774,7.965159,-3.511408,4.675566,1.435332,-6.111902
ID70,38.812698,0.002764,-0.255129,-0.094644,1.535188,0.534922,-0.074463,0.12405,-0.168626,-0.609093,0.14747,1.916928,0.634576,0.134173,-1.614579,5.467737,-2.554177,6.592457,7.552204,2.260585,5.727584,-8.409578
ID71,18.485949,-0.202169,-0.263305,-0.028965,1.409446,0.255694,-0.069219,0.327284,-0.19783,-0.170477,-0.059651,0.337762,-0.058141,0.001428,-0.055208,-7.358998,-7.031455,2.440043,27.982003,5.782774,-4.48237,-18.578817
ID72,9.251694,-0.116585,-0.212695,0.186215,1.770681,0.312717,0.166432,-0.12605,-0.114071,-0.575308,0.406844,2.158413,0.497518,0.020975,-1.439452,-3.093905,1.387911,1.457476,-0.850918,0.494873,-3.06163,14.206072
ID73,13.456683,0.051138,-0.337761,0.089253,1.376333,0.432095,-0.061547,0.199932,-0.290813,0.821346,-0.710907,-0.876771,-0.448523,-0.028698,1.135245,-0.806619,1.55647,-5.453569,-6.712606,-4.824778,2.382891,4.745408
ID74,32.622261,0.047682,-0.22369,-0.035216,1.348027,0.269172,-0.015516,0.275116,0.737465,0.785128,-0.169397,-2.893059,-0.758494,0.633907,2.186944,2.466448,-3.581195,4.132967,1.154402,8.068157,-1.079493,-7.083429
ID75,17.806318,-0.102029,-0.286959,-0.110311,1.624969,-0.020539,0.033053,0.277254,0.041825,-0.000001,-0.000299,0.045682,0.009894,0.001042,0.026462,0.090912,-0.008342,0.037757,-0.363255,0.121948,-0.014516,-0.234546
ID76,-2.455092,-0.393139,-0.381735,-0.011894,2.120435,0.719365,0.057492,-0.234223,-0.139497,-0.961414,0.72494,2.218121,1.496075,0.666293,-1.254512,-0.244667,3.163903,0.122079,-10.868248,-0.485456,-2.861445,14.308003
ID77,37.107822,-0.18902,-0.493519,-0.069784,1.530313,0.154982,-0.079722,0.283391,3.431928,-0.014363,1.114561,-3.064576,-0.153148,0.997038,-2.188259,3.678768,-8.757156,4.726915,-0.626139,-0.587192,-3.041007,7.89028
ID78,-16.854836,0.122783,-0.355415,-0.008492,1.530753,-0.008035,0.074481,0.195165,-2.465322,0.618356,-1.308119,1.462366,-0.355338,-0.245905,1.216238,-19.961679,-2.422779,-18.034735,4.849117,-2.197118,-4.245981,7.198672
ID79,35.748562,-0.073598,-0.215865,-0.226864,1.6616,-0.14592,-0.07205,0.235059,3.633274,1.026693,0.925537,-3.756783,-0.198859,0.511114,-2.840841,10.612265,-9.601533,14.021274,-6.804743,3.088269,4.798629,6.032983
ID80,3.534078,-0.294798,-0.37018,0.077022,1.763042,0.047257,0.116676,0.405373,0.069847,0.056093,-0.174402,-0.095796,-0.076133,-0.068338,-0.002921,-1.004237,-0.560121,2.538133,1.079564,0.927031,1.317258,-0.073226
ID81,37.107822,-0.451783,-0.259753,-0.081817,1.631629,-0.114786,0.121279,0.367781,-1.323143,-0.198576,0.217557,0.883035,0.152262,0.257998,0.932883,12.706939,2.685643,7.504361,5.515641,6.666814,2.54205,-0.155508
ID82,13.728535,-0.406324,-0.46358,-0.385483,1.771807,-0.051483,-0.148768,0.509709,0.366517,0.148918,0.121879,-0.190537,0.007511,0.005355,-0.184382,6.80862,3.253861,6.845164,1.632035,1.090605,1.088932,-3.1333
ID83,35.340782,-0.419424,-0.320857,-0.203051,1.632697,-0.097947,0.053767,0.384659,-1.834253,-0.539381,0.065834,0.99613,0.08589,-0.000001,1.173403,10.999678,2.722562,9.326973,5.602445,8.017389,2.182272,0.914228
ID84,-53.283028,0.305498,-0.521982,0.184905,1.325512,0.069311,0.099031,0.078554,-0.429723,-0.198863,1.073138,1.133398,-0.006688,0.480915,0.491874,-28.746658,12.985973,-10.87767,16.175104,-0.568529,-2.081256,9.93162
ID85,-9.204153,0.126198,-0.220665,-0.014376,1.732919,0.523455,0.062095,-0.114543,-0.399278,-0.021702,-0.099725,0.568783,0.123836,-0.030131,-0.024226,-9.571753,3.970422,-9.679822,-19.258432,-5.299795,-8.962992,19.473775
ID86,68.478737,-0.513022,-0.145245,0.051692,1.833796,0.319,0.002255,0.128653,-0.737515,-0.152925,-0.042834,0.437973,0.043151,-0.092507,-0.764752,24.735375,-10.23459,17.263629,21.902393,15.146452,5.080405,-34.35898
ID87,32.214485,-0.039302,-0.288744,0.089202,1.447286,0.494081,0.022969,0.282857,0.032904,-0.401755,0.323435,1.858319,0.370765,0.293209,-1.790965,4.865977,-0.57352,4.602866,-1.021049,1.693936,2.911239,-1.015806
ID88,2.44667,-0.504163,-0.570356,-0.050284,1.823554,0.879774,-0.648313,0.074184,0.267189,-0.405252,0.661694,1.696137,1.395783,1.073875,-1.650727,3.387622,3.790438,1.63804,-6.821823,-7.238234,0.895995,8.54799
ID89,27.185219,-0.027528,-0.250833,-0.017812,1.399707,0.274984,-0.034695,0.267444,0.315418,0.595667,-0.272606,-2.262874,-0.754475,0.367513,1.724894,0.961255,-3.045818,2.893083,2.65879,5.857876,-0.816014,-7.837511
ID90,-8.427418,-0.406711,-0.316681,0.090867,2.034889,0.56882,-0.122795,-0.134489,0.039118,-0.213177,0.490944,1.16259,0.731399,0.206764,-0.667566,-3.47396,7.693065,-8.857701,-16.51481,-13.155583,-3.43444,18.429453
ID91,-7.068157,-0.739374,-0.418177,0.190047,1.724217,0.696965,-0.566992,0.282089,-0.035028,-0.543518,0.634189,1.493424,1.546707,0.154512,-1.812051,0.312353,-2.180284,7.082202,6.455544,3.923885,4.428273,-5.226526
ID92,1.495187,0.053777,-0.299402,0.060539,1.451417,0.333009,0.020541,0.140092,0.176219,-0.33684,0.502178,0.902223,0.452799,0.004287,-1.176827,-3.093081,5.323333,-3.651534,-15.242163,-1.112932,1.994374,19.270137
ID93,32.622261,-0.213996,-0.409387,-0.244111,1.67492,-0.012496,-0.094299,0.367781,1.92829,0.376393,1.463343,-0.631741,0.257366,0.862343,-0.88949,8.300126,-4.898366,7.636426,-0.020832,-0.478542,1.793593,-1.448303
ID94,2.718522,-0.02536,-0.324032,0.073231,1.511108,0.331878,0.010568,0.174616,0.037533,0.372943,-0.11679,-0.713828,-0.009078,-0.001976,0.750039,-3.401386,6.384281,-3.496974,-13.4969,-6.702275,-2.346934,12.296179
ID95,22.946449,0.212277,-0.25297,0.165826,1.461392,0.386764,0.105825,0.038126,-0.009043,-0.418554,0.399005,1.531737,0.406627,0.008953,-1.502672,1.868421,3.606527,1.810593,-8.821963,-2.230239,0.488338,10.337999
ID96,-15.903353,0.266322,-0.469203,0.082583,1.29174,0.0684,0.060672,0.066279,1.450358,-1.004354,1.337324,-0.438876,0.033026,0.395114,-0.120627,-24.814523,4.846633,0.905528,25.391682,-0.657057,1.058811,12.166953
ID97,58.176365,-0.306296,-0.366159,-0.074905,1.801966,-0.001689,0.026149,0.452171,0.620422,0.011459,0.330206,-0.361295,0.338288,0.13771,-0.341549,26.162684,-0.013647,14.858565,-17.6842,9.216209,5.181883,-16.591166
ID98,42.001163,-0.33124,-0.369772,-0.266511,1.793735,-0.065746,-0.029088,0.418415,-2.138156,-0.914709,-2.245675,1.167014,-0.552877,-1.362996,1.548241,25.158959,-3.238563,17.6066,-14.03278,4.747238,2.037095,-8.569666
ID99,37.515602,0.101567,-0.257108,0.018108,1.298783,0.433009,0.009927,0.318914,-0.216315,0.058643,-0.227146,-0.422381,-0.229171,-0.066182,0.23659,-5.299997,-4.757636,1.840111,27.135137,4.782674,0.730636,-18.059508
ID100,10.466309,0.299058,-0.413094,0.127979,1.138462,0.102078,0.119745,-0.028851,-1.326329,-0.064777,0.347226,1.049768,-0.228462,0.249847,0.427464,-16.247994,3.041635,-2.007601,24.325198,-3.834099,0.407459,12.169921
ID101,-12.644018,-0.804499,-0.74905,0.204499,1.96923,1.155292,-0.520194,-0.00637,0.583899,-0.199714,-0.92091,-2.276977,-1.23589,-1.692237,1.532575,8.291518,18.099978,-5.782803,0.083258,-26.139055,8.238835,9.136654
ID102,31.127075,0.055756,-0.257713,0.074676,1.351735,0.285539,0.075778,0.248265,0.070712,0.589844,-0.413859,-1.719994,-0.260922,-0.025462,1.367954,2.370819,-1.784072,-0.374413,-4.334594,0.786318,-0.03915,-1.877773
ID103,38.874863,-0.572074,-0.525406,-0.40295,1.772844,-0.049661,-0.141097,0.597935,-0.12255,-0.096006,-0.66075,1.750018,-0.003105,-0.448972,1.344562,15.580182,7.334444,9.662407,2.471042,2.57398,6.165326,-5.361258
ID104,2.002866,-0.592065,-0.560303,0.080971,1.671533,0.589083,-0.785639,0.433991,-0.216046,1.187726,-1.294902,-1.13895,-2.499004,1.48443,2.059462,0.691466,-4.464817,-0.374955,1.248439,12.332557,5.089606,-10.914405
ID105,8.602561,0.13135,-0.293676,0.002337,1.544581,0.511203,-0.000813,0.07802,0.075315,-0.356793,0.485705,1.265984,0.471326,0.318565,-0.961089,-0.387354,5.046526,-3.029304,-17.896044,-2.782385,-2.090188,18.8666
ID106,-4.485561,-0.077943,-0.381829,0.118451,1.759937,0.535896,0.045217,-0.02018,-0.24797,0.053046,0.147189,0.257454,0.133223,0.081182,0.225356,-4.189717,7.794117,-10.921339,-19.206897,-9.296474,-2.957728,19.724307
ID107,12.369274,-0.043299,-0.299528,-0.085073,1.579563,0.461154,-0.128291,0.044195,-0.03787,-0.569653,0.378307,1.606353,1.089189,-0.374605,-1.325343,1.75251,3.207702,0.460388,-10.560661,-2.33722,4.671352,12.516025
ID108,-6.109176,-0.735321,-0.464987,0.266451,1.843095,0.786375,-0.521729,0.147833,0.071175,-0.411105,0.795894,1.282897,1.283803,0.566525,-1.274416,2.840246,4.132894,-8.548188,-11.892282,-11.081561,2.101369,15.446138
ID109,30.311518,0.020137,-0.249537,0.089234,1.492713,0.367035,0.081275,0.159341,-0.326463,0.302624,-0.262753,-1.338019,-0.386678,-0.152862,1.021143,-0.471679,-3.347373,1.731166,13.22976,1.464354,-0.058924,-12.234593
ID110,3.941857,-0.348159,-0.295569,-0.055323,1.50162,0.287613,-0.18046,0.354903,-0.080581,-0.360953,-0.006728,0.941227,0.607733,-0.070162,-0.584204,-4.750335,-8.981324,4.38196,22.592703,15.735974,-4.947542,-17.661353
